time,53,65,111,154,158,229,234,236,340,381
0,36.04,38.19,35.73,35.49,35.53,35.41,36.99,39.19,37.87,37.20
1,36.36,38.57,36.03,35.80,35.82,35.73,37.32,39.72,38.31,37.56
2,36.84,39.11,36.47,36.27,36.26,36.20,37.81,40.40,38.92,38.10
3,37.09,39.42,36.70,36.51,36.49,36.45,38.07,40.85,39.30,38.40
4,37.03,39.39,36.64,36.44,36.42,36.39,38.02,40.97,39.32,38.35
5,36.62,39.01,36.25,36.01,36.03,35.99,37.61,40.66,38.95,37.94
6,35.39,37.72,35.09,34.77,34.87,34.76,36.36,39.20,37.56,36.63
7,33.49,35.75,33.29,32.86,33.06,32.87,34.45,36.96,35.44,34.63
8,33.46,35.65,33.27,32.86,33.04,32.84,34.41,36.79,35.32,34.56
9,34.11,36.20,33.90,33.55,33.69,33.49,35.04,37.17,35.82,35.17
10,34.02,36.12,33.82,33.46,33.61,33.40,34.96,37.08,35.73,35.08
11,34.13,36.20,33.93,33.58,33.72,33.51,35.06,37.09,35.78,35.18
12,34.50,36.56,34.28,33.95,34.07,33.87,35.43,37.41,36.14,35.55
13,34.97,37.05,34.73,34.43,34.52,34.35,35.91,37.93,36.65,36.05
14,34.64,36.79,34.41,34.07,34.19,34.02,35.59,37.88,36.46,35.75
15,34.24,36.40,34.02,33.66,33.80,33.62,35.18,37.51,36.07,35.34
16,33.83,35.96,33.62,33.25,33.41,33.20,34.76,37.02,35.61,34.90
17,33.58,35.68,33.39,33.00,33.17,32.95,34.51,36.67,35.29,34.63
18,33.45,35.52,33.27,32.88,33.05,32.83,34.37,36.44,35.10,34.48
19,33.56,35.59,33.38,33.01,33.17,32.94,34.48,36.40,35.13,34.57
20,33.78,35.80,33.60,33.24,33.39,33.16,34.70,36.58,35.33,34.79
21,34.19,36.21,33.99,33.65,33.78,33.57,35.11,36.98,35.75,35.21
22,34.59,36.64,34.37,34.05,34.16,33.97,35.52,37.45,36.21,35.64
23,35.11,37.19,34.86,34.57,34.66,34.49,36.05,38.06,36.79,36.20
24,35.96,38.10,35.67,35.42,35.46,35.34,36.91,39.04,37.75,37.11
25,36.18,38.38,35.86,35.62,35.66,35.55,37.14,39.49,38.10,37.37
26,36.47,38.71,36.13,35.90,35.92,35.83,37.43,39.95,38.49,37.69
27,36.91,39.20,36.53,36.34,36.33,36.27,37.89,40.56,39.04,38.19
28,37.14,39.49,36.74,36.56,36.53,36.51,38.13,40.97,39.38,38.46
29,37.07,39.46,36.68,36.48,36.47,36.44,38.07,41.07,39.40,38.41
30,36.64,39.04,36.28,36.03,36.06,36.01,37.64,40.71,38.99,37.97
31,35.40,37.74,35.11,34.78,34.88,34.77,36.38,39.22,37.59,36.65
32,33.51,35.76,33.30,32.88,33.07,32.88,34.47,36.98,35.46,34.65
33,33.48,35.66,33.28,32.87,33.06,32.85,34.42,36.81,35.34,34.57
34,34.13,36.22,33.92,33.56,33.70,33.50,35.06,37.19,35.84,35.19
35,34.03,36.13,33.83,33.47,33.62,33.41,34.97,37.10,35.74,35.09
36,34.14,36.21,33.93,33.58,33.72,33.51,35.07,37.10,35.79,35.19
37,34.50,36.57,34.28,33.96,34.08,33.88,35.43,37.42,36.14,35.56
38,34.97,37.06,34.73,34.43,34.52,34.35,35.91,37.94,36.66,36.06
39,34.65,36.79,34.41,34.08,34.20,34.02,35.59,37.89,36.47,35.75
40,34.24,36.40,34.02,33.66,33.81,33.62,35.19,37.51,36.07,35.34
41,33.83,35.96,33.63,33.25,33.41,33.20,34.76,37.03,35.61,34.90
42,33.58,35.68,33.39,33.00,33.17,32.96,34.51,36.67,35.29,34.63
43,33.45,35.52,33.27,32.88,33.05,32.83,34.37,36.44,35.10,34.48
44,33.56,35.59,33.38,33.01,33.17,32.94,34.48,36.40,35.13,34.57
45,33.78,35.80,33.60,33.24,33.39,33.16,34.70,36.58,35.33,34.79
46,34.19,36.22,33.99,33.65,33.78,33.57,35.11,36.98,35.75,35.21
47,34.59,36.64,34.37,34.05,34.16,33.97,35.52,37.45,36.21,35.64
48,35.11,37.19,34.86,34.57,34.66,34.49,36.05,38.06,36.79,36.20
49,35.96,38.10,35.67,35.42,35.46,35.34,36.91,39.04,37.75,37.11
50,36.18,38.38,35.87,35.62,35.66,35.55,37.14,39.49,38.10,37.37
51,36.47,38.71,36.13,35.90,35.92,35.83,37.43,39.95,38.49,37.69
52,36.91,39.20,36.53,36.34,36.33,36.27,37.89,40.56,39.04,38.19
53,37.14,39.49,36.74,36.56,36.53,36.51,38.13,40.97,39.38,38.46
54,37.07,39.46,36.68,36.48,36.47,36.44,38.07,41.07,39.40,38.41
55,36.64,39.04,36.28,36.03,36.06,36.01,37.64,40.71,38.99,37.97
56,35.40,37.74,35.11,34.78,34.88,34.77,36.38,39.22,37.59,36.65
57,33.51,35.76,33.30,32.88,33.07,32.88,34.47,36.98,35.46,34.65
58,33.48,35.66,33.28,32.87,33.06,32.85,34.42,36.81,35.34,34.57
59,34.13,36.22,33.92,33.56,33.70,33.50,35.06,37.19,35.84,35.19
60,34.03,36.13,33.83,33.47,33.62,33.41,34.97,37.10,35.74,35.09
61,34.14,36.21,33.93,33.58,33.72,33.51,35.07,37.10,35.79,35.19
62,34.50,36.57,34.28,33.96,34.08,33.88,35.43,37.42,36.14,35.56
63,34.97,37.06,34.73,34.43,34.52,34.35,35.91,37.94,36.66,36.06
64,34.65,36.79,34.41,34.08,34.20,34.02,35.59,37.89,36.47,35.75
65,34.24,36.40,34.02,33.66,33.81,33.62,35.19,37.51,36.07,35.34
66,33.83,35.96,33.63,33.25,33.41,33.20,34.76,37.03,35.61,34.90
67,33.58,35.68,33.39,33.00,33.17,32.96,34.51,36.67,35.29,34.63
68,33.45,35.52,33.27,32.88,33.05,32.83,34.37,36.44,35.10,34.48
69,33.56,35.59,33.38,33.01,33.17,32.94,34.48,36.40,35.13,34.57
70,33.78,35.80,33.60,33.24,33.39,33.16,34.70,36.58,35.33,34.79
71,34.19,36.22,33.99,33.65,33.78,33.57,35.11,36.98,35.75,35.21
72,34.59,36.64,34.37,34.05,34.16,33.97,35.52,37.45,36.21,35.64
73,35.11,37.19,34.86,34.57,34.66,34.49,36.05,38.06,36.79,36.20
74,35.96,38.10,35.67,35.42,35.46,35.34,36.91,39.04,37.75,37.11
75,36.18,38.38,35.87,35.62,35.66,35.55,37.14,39.49,38.10,37.37
76,36.47,38.71,36.13,35.90,35.92,35.83,37.43,39.95,38.49,37.69
77,36.91,39.20,36.53,36.34,36.33,36.27,37.89,40.56,39.04,38.19
78,37.14,39.49,36.74,36.56,36.53,36.51,38.13,40.97,39.38,38.46
79,37.07,39.46,36.68,36.48,36.47,36.44,38.07,41.07,39.40,38.41
80,36.64,39.04,36.28,36.03,36.06,36.01,37.64,40.71,38.99,37.97
81,35.40,37.74,35.11,34.78,34.88,34.77,36.38,39.22,37.59,36.65
